Episode,Steps,Agent0,Agent1,Agent2,Total
0,1601,-1282.5999999999976,-1466.7999999999754,-1352.0000000000098,-4101.399999999983
10,966,-523.1000000000012,-698.9000000000041,-644.9000000000027,-1866.9000000000078
20,1355,-898.4000000000074,-1145.7999999999922,-1070.800000000023,-3115.0000000000227
30,1327,-956.8000000000053,-1104.9999999999982,-1019.6000000000228,-3081.400000000026
40,1591,-1113.500000000009,-1359.1999999999894,-1364.6000000000267,-3837.300000000025
50,1019,-678.5000000000038,-830.6000000000106,-706.8000000000085,-2215.900000000023
60,1432,-1120.5000000000116,-1240.3999999999924,-1100.300000000025,-3461.200000000029
70,1900,-1473.69999999999,-1792.299999999957,-1762.0999999999933,-5028.09999999994
80,1263,-866.0000000000055,-1057.9999999999893,-959.4000000000317,-2883.4000000000265
90,1089,-689.9000000000028,-866.0999999999957,-780.6000000000168,-2336.6000000000154
100,1495,-1162.8000000000013,-1306.8999999999899,-1205.0000000000346,-3674.7000000000257
110,1139,-759.5000000000039,-848.7999999999947,-776.0000000000138,-2384.3000000000125
120,1170,-711.400000000003,-1008.5000000000132,-944.7000000000224,-2664.6000000000386
130,1249,-787.3000000000058,-1022.5000000000024,-996.8000000000231,-2806.6000000000313
140,1439,-1072.300000000006,-1229.9999999999877,-1168.6000000000274,-3470.9000000000215
150,1432,-1045.900000000009,-1242.2999999999972,-1187.7000000000264,-3475.9000000000324
160,1355,-860.6000000000031,-1210.4999999999927,-1111.0000000000257,-3182.1000000000213
170,1544,-1114.9000000000055,-1366.9999999999827,-1381.6999999999966,-3863.599999999985
180,1369,-893.0000000000032,-1227.999999999987,-1177.0000000000161,-3298.0000000000064
190,1643,-1303.8999999999974,-1480.9999999999775,-1431.4000000000083,-4216.299999999983
200,1424,-1007.8000000000076,-1175.1999999999982,-1198.9000000000171,-3381.9000000000233
210,1455,-1026.3000000000086,-1306.5999999999922,-1280.0000000000077,-3612.9000000000083
220,1204,-764.4000000000045,-970.0999999999946,-985.100000000025,-2719.600000000024
230,1143,-755.8000000000018,-915.399999999995,-919.6000000000223,-2590.800000000019
240,1021,-549.7999999999977,-755.1999999999971,-713.8000000000108,-2018.8000000000056
250,1352,-859.5000000000061,-1144.6999999999998,-1104.9000000000103,-3109.1000000000163
260,1246,-805.1000000000042,-1021.500000000002,-992.9000000000265,-2819.5000000000327
270,1138,-741.3000000000039,-955.7000000000055,-903.3000000000189,-2600.3000000000284
280,1314,-878.0000000000048,-1167.099999999994,-1078.700000000028,-3123.8000000000266
290,1404,-1026.000000000005,-1241.0999999999958,-1199.3000000000086,-3466.4000000000096
300,1426,-1023.7000000000071,-1192.099999999994,-1198.3000000000338,-3414.100000000035
310,1178,-760.4000000000034,-976.6000000000051,-944.3000000000192,-2681.300000000028
320,1158,-747.5000000000053,-934.4000000000044,-922.1000000000121,-2604.000000000022
330,1899,-1391.79999999999,-1754.9999999999593,-1805.9999999999784,-4952.799999999927
340,1435,-1046.6000000000063,-1235.7999999999943,-1254.400000000013,-3536.800000000014
350,1134,-621.2999999999997,-855.9999999999901,-859.7000000000249,-2337.0000000000146
360,927,-470.4999999999983,-671.1000000000026,-652.0000000000002,-1793.600000000001
370,977,-576.7,-724.3999999999951,-715.0000000000103,-2016.1000000000054
380,1693,-1367.9999999999982,-1585.2999999999604,-1550.1999999999814,-4503.49999999994
390,1257,-788.6000000000016,-1102.3999999999942,-1038.20000000002,-2929.200000000016
400,1057,-560.1000000000004,-762.6999999999997,-741.8000000000081,-2064.6000000000085
410,1580,-1173.6000000000015,-1359.8999999999814,-1301.7000000000123,-3835.1999999999953
420,1812,-1318.3999999999844,-1713.9999999999607,-1783.8999999999692,-4816.299999999914
430,1128,-731.1000000000026,-962.3000000000058,-917.5000000000134,-2610.9000000000215
440,1565,-1192.299999999993,-1386.5999999999817,-1402.2000000000005,-3981.099999999975
450,1449,-1038.1000000000063,-1285.0999999999954,-1278.8000000000313,-3602.0000000000327
460,1180,-814.6000000000041,-1043.5000000000043,-1017.5000000000181,-2875.6000000000267
470,1316,-810.1000000000029,-1130.1999999999982,-1051.5000000000223,-2991.8000000000234
480,1457,-1051.7000000000073,-1304.8999999999828,-1238.0000000000327,-3594.600000000023
490,1431,-1038.300000000011,-1238.8999999999987,-1211.200000000027,-3488.400000000037
500,971,-478.59999999999894,-716.6000000000022,-743.8000000000061,-1939.0000000000073
510,1068,-684.9000000000045,-867.1000000000047,-881.5000000000097,-2433.5000000000186
520,1749,-1307.6999999999998,-1579.8999999999683,-1526.2000000000007,-4413.799999999968
530,1268,-923.9000000000071,-1088.2999999999934,-1010.7000000000262,-3022.900000000027
540,1900,-1427.1999999999916,-1796.5999999999472,-1833.899999999967,-5057.699999999906
550,1463,-1082.5000000000086,-1237.6999999999869,-1236.6000000000367,-3556.800000000032
560,970,-579.700000000002,-776.300000000008,-727.5000000000027,-2083.5000000000127
570,1634,-1151.1000000000104,-1444.5999999999838,-1492.7000000000037,-4088.399999999998
580,1147,-684.3000000000015,-931.700000000001,-893.2000000000187,-2509.200000000021
590,1289,-1013.6000000000087,-1107.3000000000013,-1063.2000000000307,-3184.100000000041
600,1218,-709.9999999999978,-997.7000000000048,-1011.700000000023,-2719.4000000000256
610,1707,-1312.3999999999908,-1549.699999999967,-1510.6000000000138,-4372.699999999972
620,1540,-1067.300000000006,-1337.599999999987,-1382.1000000000117,-3787.000000000005
630,1594,-1187.1000000000051,-1500.3999999999749,-1475.3000000000056,-4162.799999999986
